ENST00000000233	381	N
ENST00000000412	4074	hsa04142=Lysosome.hsa04145=Phagosome
ENST00000000442	2101	N
ENST00000001008	2288	N
ENST00000001146	56603	hsa00830=Retinol metabolism
ENST00000002125	55471	N
ENST00000002165	2519	hsa00511=Other glycan degradation
ENST00000002596	9957	hsa00534=Glycosaminoglycan biosynthesis - heparan sulfate
ENST00000002829	6405	hsa04360=Axon guidance
ENST00000003084	1080	hsa02010=ABC transporters.hsa04971=Gastric acid secretion.hsa04972=Pancreatic secretion.hsa04976=Bile secretion
ENST00000003100	1595	hsa00100=Steroid biosynthesis.hsa01100=Metabolic pathways
ENST00000003302	57646	N
ENST00000003834	23098	N
ENST00000004921	6362	hsa04060=Cytokine-cytokine receptor interaction.hsa04062=Chemokine signaling pathway
ENST00000004982	126393	N
ENST00000005178	5166	N
ENST00000005180	10344	hsa04060=Cytokine-cytokine receptor interaction.hsa04062=Chemokine signaling pathway
ENST00000005198	4293	N
ENST00000005226	10083	N
ENST00000005257	5898	hsa05200=Pathways in cancer.hsa05212=Pancreatic cancer
ENST00000005260	55971	N
ENST00000005284	10368	hsa04010=MAPK signaling pathway.hsa04260=Cardiac muscle contraction.hsa05410=Hypertrophic cardiomyopathy (HCM).hsa05412=Arrhythmogenic right ventricular cardiomyopathy (ARVC).hsa05414=Dilated cardiomyopathy
ENST00000005286	54972	N
ENST00000005340	1856	hsa04310=Wnt signaling pathway.hsa04330=Notch signaling pathway.hsa04916=Melanogenesis.hsa05166=HTLV-I infection.hsa05200=Pathways in cancer.hsa05217=Basal cell carcinoma
ENST00000005386	79657	N
ENST00000005558	3475	N
ENST00000005905	9703	N
ENST00000005995	10942	N
ENST00000006015	3207	hsa05202=Transcriptional misregulation in cancers
ENST00000006053	6376	hsa04060=Cytokine-cytokine receptor interaction.hsa04062=Chemokine signaling pathway
ENST00000006101	51226	N
ENST00000006275	79090	N
ENST00000006658	64847	N
ENST00000006724	1087	N
ENST00000006777	57414	N
ENST00000007264	113000	N
ENST00000007390	115939	N
ENST00000007414	114881	N
ENST00000007516	4706	hsa00190=Oxidative phosphorylation.hsa01100=Metabolic pathways.hsa05010=Alzheimer's disease.hsa05012=Parkinson's disease.hsa05016=Huntington's disease
ENST00000007660	1750	N
ENST00000007699	51087	N
ENST00000007722	3675	hsa04510=Focal adhesion.hsa04512=ECM-receptor interaction.hsa04640=Hematopoietic cell lineage.hsa04810=Regulation of actin cytoskeleton.hsa05200=Pathways in cancer.hsa05222=Small cell lung cancer.hsa05410=Hypertrophic cardiomyopathy (HCM).hsa05412=Arrhythmogenic right ventricular cardiomyopathy (ARVC).hsa05414=Dilated cardiomyopathy
ENST00000007735	3883	N
ENST00000007969	10233	N
ENST00000008391	83741	N
ENST00000008527	1407	hsa04710=Circadian rhythm - mammal
ENST00000008938	8993	N
ENST00000009041	83930	N
ENST00000009105	57172	N
ENST00000009530	972	hsa04612=Antigen processing and presentation.hsa05152=Tuberculosis.hsa05168=Herpes simplex infection
ENST00000009589	6224	hsa03010=Ribosome
ENST00000010299	199870	N
ENST00000010404	4257	hsa00480=Glutathione metabolism.hsa00980=Metabolism of xenobiotics by cytochrome P450.hsa00982=Drug metabolism - cytochrome P450
ENST00000011292	1357	hsa04972=Pancreatic secretion.hsa04974=Protein digestion and absorption
ENST00000011473	6856	N
ENST00000011619	10048	N
ENST00000011653	920	hsa04514=Cell adhesion molecules (CAMs).hsa04612=Antigen processing and presentation.hsa04640=Hematopoietic cell lineage.hsa04660=T cell receptor signaling pathway.hsa05340=Primary immunodeficiency
ENST00000011684	55200	N
ENST00000012049	54814	N
ENST00000012443	5536	hsa04010=MAPK signaling pathway
ENST00000013070	55148	N
ENST00000013125	11183	N
ENST00000013222	11185	hsa00380=Tryptophan metabolism.hsa00450=Selenocompound metabolism
ENST00000013807	2067	hsa03420=Nucleotide excision repair.hsa03460=Fanconi anemia pathway
ENST00000014914	9052	N
ENST00000014930	50865	N
ENST00000016171	1355	hsa00190=Oxidative phosphorylation.hsa00860=Porphyrin and chlorophyll metabolism.hsa01100=Metabolic pathways
ENST00000016913	54860	N
ENST00000016946	84220	N
ENST00000017003	64132	hsa00532=Glycosaminoglycan biosynthesis - chondroitin sulfate.hsa00534=Glycosaminoglycan biosynthesis - heparan sulfate.hsa01100=Metabolic pathways
ENST00000019103	6344	hsa04080=Neuroactive ligand-receptor interaction.hsa04972=Pancreatic secretion.hsa04976=Bile secretion
ENST00000019317	10928	hsa05200=Pathways in cancer.hsa05212=Pancreatic cancer
ENST00000020673	5662	hsa04144=Endocytosis
ENST00000020926	57586	N
ENST00000020945	6591	hsa04520=Adherens junction
ENST00000023064	11136	hsa04974=Protein digestion and absorption
ENST00000023897	2554	hsa04080=Neuroactive ligand-receptor interaction.hsa04727=GABAergic synapse
ENST00000023939	51507	N
ENST00000024061	57210	N
ENST00000025008	9821	N
ENST00000025301	11215	N
ENST00000026218	9091	hsa00563=Glycosylphosphatidylinositol(GPI)-anchor biosynthesis.hsa01100=Metabolic pathways
ENST00000027335	1015	N
ENST00000029410	11285	hsa00532=Glycosaminoglycan biosynthesis - chondroitin sulfate.hsa00534=Glycosaminoglycan biosynthesis - heparan sulfate.hsa01100=Metabolic pathways
ENST00000031146	55334	N
ENST00000033079	51306	N
ENST00000035307	54480	hsa00532=Glycosaminoglycan biosynthesis - chondroitin sulfate.hsa01100=Metabolic pathways
ENST00000035383	57554	N
ENST00000037243	11345	hsa04140=Regulation of autophagy.hsa04727=GABAergic synapse
ENST00000037502	4653	N
ENST00000037869	84908	N
ENST00000039007	5009	hsa00330=Arginine and proline metabolism.hsa01100=Metabolic pathways
ENST00000039989	55761	N
ENST00000040584	3224	N
ENST00000040663	84245	hsa00270=Cysteine and methionine metabolism.hsa01100=Metabolic pathways
ENST00000040738	259282	N
ENST00000040877	6894	N
ENST00000042381	79567	N
ENST00000042931	54831	hsa04970=Salivary secretion
ENST00000043402	65078	N
ENST00000044462	5685	hsa03050=Proteasome
ENST00000046087	11055	N
ENST00000046794	3937	hsa04380=Osteoclast differentiation.hsa04650=Natural killer cell mediated cytotoxicity.hsa04660=T cell receptor signaling pathway.hsa04664=Fc epsilon RI signaling pathway
ENST00000052754	1634	hsa04350=TGF-beta signaling pathway
ENST00000053243	608	hsa04060=Cytokine-cytokine receptor interaction.hsa04672=Intestinal immune network for IgA production
ENST00000053468	55173	N
ENST00000053867	2896	N
ENST00000054666	9341	hsa04130=SNARE interactions in vesicular transport.hsa04145=Phagosome
ENST00000054668	10911	N
ENST00000054950	5954	N
ENST00000055077	5982	hsa03030=DNA replication.hsa03420=Nucleotide excision repair.hsa03430=Mismatch repair
ENST00000055335	89801	N
ENST00000056217	7984	N
ENST00000056233	9603	N
ENST00000057513	79931	N
ENST00000058691	23593	N
ENST00000061240	7092	N
ENST00000062104	4826	N
ENST00000064571	140689	N
ENST00000064724	5010	hsa04514=Cell adhesion molecules (CAMs).hsa04530=Tight junction.hsa04670=Leukocyte transendothelial migration.hsa05160=Hepatitis C
ENST00000064780	84957	hsa04060=Cytokine-cytokine receptor interaction
ENST00000070846	5318	hsa05412=Arrhythmogenic right ventricular cardiomyopathy (ARVC)
ENST00000072516	3556	hsa04060=Cytokine-cytokine receptor interaction.hsa04210=Apoptosis
ENST00000072644	54432	N
ENST00000072869	90956	N
ENST00000074304	3631	hsa00562=Inositol phosphate metabolism.hsa01100=Metabolic pathways.hsa04070=Phosphatidylinositol signaling system
ENST00000075120	6515	N
ENST00000075503	55359	N
ENST00000078429	2767	hsa04020=Calcium signaling pathway.hsa04270=Vascular smooth muscle contraction.hsa04540=Gap junction.hsa04725=Cholinergic synapse.hsa04730=Long-term depression.hsa04912=GnRH signaling pathway.hsa05142=Chagas disease (American trypanosomiasis).hsa05146=Amoebiasis
ENST00000078445	84699	hsa04725=Cholinergic synapse.hsa04728=Dopaminergic synapse.hsa04916=Melanogenesis.hsa04962=Vasopressin-regulated water reabsorption.hsa05016=Huntington's disease.hsa05215=Prostate cancer
ENST00000078527	55650	hsa00563=Glycosylphosphatidylinositol(GPI)-anchor biosynthesis.hsa01100=Metabolic pathways
