ENSBTAT00000000003	767916	N
ENSBTAT00000000005	282136	bta04062=Chemokine signaling pathway.bta04144=Endocytosis.bta04724=Glutamatergic synapse.bta04740=Olfactory transduction
ENSBTAT00000000008	539250	bta04960=Aldosterone-regulated sodium reabsorption.bta04971=Gastric acid secretion
ENSBTAT00000000009	524813	N
ENSBTAT00000000010	511289	N
ENSBTAT00000000013	531278	N
ENSBTAT00000000014	281557	N
ENSBTAT00000000015	532871	N
ENSBTAT00000000017	540404	bta04140=Regulation of autophagy.bta04150=mTOR signaling pathway.bta04910=Insulin signaling pathway.bta04920=Adipocytokine signaling pathway.bta05410=Hypertrophic cardiomyopathy (HCM)
ENSBTAT00000000018	280845	bta04060=Cytokine-cytokine receptor interaction.bta04940=Type I diabetes mellitus.bta05166=HTLV-I infection.bta05168=Herpes simplex infection
ENSBTAT00000000020	539993.781002	N
ENSBTAT00000000022	613720	N
ENSBTAT00000000024	100139879	bta03013=RNA transport
ENSBTAT00000000025	540090	N
ENSBTAT00000000027	616537	N
ENSBTAT00000000029	526538	N
ENSBTAT00000000032	540048	N
ENSBTAT00000000033	513486	N
ENSBTAT00000000034	540259	N
ENSBTAT00000000036	529835	N
ENSBTAT00000000037	524639	bta00564=Glycerophospholipid metabolism.bta01100=Metabolic pathways
ENSBTAT00000000040	504397	N
ENSBTAT00000000043	505662	N
ENSBTAT00000000044	515219	N
ENSBTAT00000000046	539606	bta00330=Arginine and proline metabolism.bta01100=Metabolic pathways
ENSBTAT00000000047	504987	bta00330=Arginine and proline metabolism.bta01100=Metabolic pathways
ENSBTAT00000000049	617922	N
ENSBTAT00000000050	525682	N
ENSBTAT00000000051	526046	N
ENSBTAT00000000054	527084	N
ENSBTAT00000000055	510741	N
ENSBTAT00000000057	617454	N
ENSBTAT00000000060	512086	N
ENSBTAT00000000063	504323	bta04145=Phagosome.bta04350=TGF-beta signaling pathway.bta04510=Focal adhesion.bta04512=ECM-receptor interaction.bta05144=Malaria
ENSBTAT00000000065	U	N
ENSBTAT00000000066	100140032	N
ENSBTAT00000000069	514537	N
ENSBTAT00000000071	616242	bta03030=DNA replication.bta03410=Base excision repair.bta03450=Non-homologous end-joining
ENSBTAT00000000072	512761	bta00564=Glycerophospholipid metabolism.bta01100=Metabolic pathways
ENSBTAT00000000073	527351	N
ENSBTAT00000000074	517962	N
ENSBTAT00000000078	100337035	N
ENSBTAT00000000079	281759	bta03320=PPAR signaling pathway
ENSBTAT00000000080	516874	N
ENSBTAT00000000081	504957	N
ENSBTAT00000000084	517232	N
ENSBTAT00000000085	510949	bta00230=Purine metabolism.bta00250=Alanine, aspartate and glutamate metabolism.bta01100=Metabolic pathways
ENSBTAT00000000086	538565	N
ENSBTAT00000000087	532798	N
ENSBTAT00000000088	540739	N
ENSBTAT00000000089	540740	bta04725=Cholinergic synapse
ENSBTAT00000000091	516084	N
ENSBTAT00000000092	286797	N
ENSBTAT00000000094	503552	bta00232=Caffeine metabolism.bta00380=Tryptophan metabolism.bta00591=Linoleic acid metabolism.bta00830=Retinol metabolism.bta00980=Metabolism of xenobiotics by cytochrome P450.bta00982=Drug metabolism - cytochrome P450.bta01100=Metabolic pathways
ENSBTAT00000000096	789567	bta00062=Fatty acid elongation.bta00140=Steroid hormone biosynthesis.bta01040=Biosynthesis of unsaturated fatty acids.bta01100=Metabolic pathways
ENSBTAT00000000099	507880	bta04141=Protein processing in endoplasmic reticulum
ENSBTAT00000000100	282517	bta00190=Oxidative phosphorylation.bta01100=Metabolic pathways.bta05010=Alzheimer's disease.bta05012=Parkinson's disease.bta05016=Huntington's disease
ENSBTAT00000000101	520864	N
ENSBTAT00000000103	539392	bta04514=Cell adhesion molecules (CAMs)
ENSBTAT00000000104	U	N
ENSBTAT00000000106	512180	N
ENSBTAT00000000107	100138100	bta00310=Lysine degradation
ENSBTAT00000000109	539223	bta00600=Sphingolipid metabolism.bta01100=Metabolic pathways
ENSBTAT00000000111	539470	N
ENSBTAT00000000112	508825.781720	N
ENSBTAT00000000114	533646	N
ENSBTAT00000000115	517668	N
ENSBTAT00000000119	530205	N
ENSBTAT00000000127	U	N
ENSBTAT00000000129	U	N
ENSBTAT00000000134	509481	bta00630=Glyoxylate and dicarboxylate metabolism.bta01100=Metabolic pathways.bta04146=Peroxisome
ENSBTAT00000000135	525833	bta04340=Hedgehog signaling pathway
ENSBTAT00000000136	538822	bta03008=Ribosome biogenesis in eukaryotes
ENSBTAT00000000139	533929	bta04010=MAPK signaling pathway.bta04810=Regulation of actin cytoskeleton.bta05200=Pathways in cancer.bta05218=Melanoma
ENSBTAT00000000141	U	N
ENSBTAT00000000143	100138267	N
ENSBTAT00000000144	504958	bta03013=RNA transport
ENSBTAT00000000146	504960	bta04142=Lysosome
ENSBTAT00000000147	504961	N
ENSBTAT00000000157	768324	N
ENSBTAT00000000158	U	N
ENSBTAT00000000159	535293	bta00980=Metabolism of xenobiotics by cytochrome P450.bta04976=Bile secretion
ENSBTAT00000000160	532622	bta00310=Lysine degradation
ENSBTAT00000000161	532148	N
ENSBTAT00000000163	615964	N
ENSBTAT00000000167	531927.782949	N
ENSBTAT00000000169	533900	N
ENSBTAT00000000172	531139	N
ENSBTAT00000000176	767839	N
ENSBTAT00000000177	790100	N
ENSBTAT00000000179	516629	N
ENSBTAT00000000181	507644	N
ENSBTAT00000000184	514525	bta00260=Glycine, serine and threonine metabolism.bta00270=Cysteine and methionine metabolism.bta01100=Metabolic pathways
ENSBTAT00000000187	529235	bta04150=mTOR signaling pathway
ENSBTAT00000000188	768325	bta04912=GnRH signaling pathway
ENSBTAT00000000191	524703	N
ENSBTAT00000000194	281184	N
ENSBTAT00000000195	506093	N
ENSBTAT00000000196	U	N
ENSBTAT00000000198	282304	bta00051=Fructose and mannose metabolism
ENSBTAT00000000199	768043	N
ENSBTAT00000000200	539533	N
ENSBTAT00000000201	540766	N
ENSBTAT00000000202	516237	N
ENSBTAT00000000204	525521	N
ENSBTAT00000000206	512524	N
ENSBTAT00000000207	507484	N
ENSBTAT00000000209	511661	N
ENSBTAT00000000210	535820	bta04141=Protein processing in endoplasmic reticulum.bta05160=Hepatitis C.bta05162=Measles.bta05164=Influenza A.bta05168=Herpes simplex infection
ENSBTAT00000000211	506682	bta00740=Riboflavin metabolism.bta01100=Metabolic pathways
ENSBTAT00000000213	540355	bta00534=Glycosaminoglycan biosynthesis - heparan sulfate
ENSBTAT00000000214	520147	N
ENSBTAT00000000217	518758	N
ENSBTAT00000000218	U	N
ENSBTAT00000000230	616544	N
ENSBTAT00000000231	781146	N
ENSBTAT00000000236	U	N
ENSBTAT00000000237	504418	N
ENSBTAT00000000240	281641	bta00190=Oxidative phosphorylation.bta01100=Metabolic pathways.bta04145=Phagosome.bta04721=Synaptic vesicle cycle.bta04966=Collecting duct acid secretion.bta05323=Rheumatoid arthritis
ENSBTAT00000000244	513155	N
ENSBTAT00000000246	617253	N
ENSBTAT00000000253	515490	N
ENSBTAT00000000254	615128	N
ENSBTAT00000000256	523644	N
ENSBTAT00000000257	513419	bta00760=Nicotinate and nicotinamide metabolism.bta01100=Metabolic pathways
ENSBTAT00000000263	537804	bta04080=Neuroactive ligand-receptor interaction.bta04720=Long-term potentiation.bta04724=Glutamatergic synapse.bta04728=Dopaminergic synapse.bta05010=Alzheimer's disease.bta05014=Amyotrophic lateral sclerosis (ALS).bta05016=Huntington's disease.bta05322=Systemic lupus erythematosus
ENSBTAT00000000265	100295732	bta04010=MAPK signaling pathway.bta04540=Gap junction.bta04722=Neurotrophin signaling pathway
ENSBTAT00000000269	537542	N
ENSBTAT00000000271	522335	N
ENSBTAT00000000276	614688	bta03410=Base excision repair.bta05166=HTLV-I infection
ENSBTAT00000000277	509338	bta04310=Wnt signaling pathway
ENSBTAT00000000282	404101	bta04060=Cytokine-cytokine receptor interaction.bta04350=TGF-beta signaling pathway
ENSBTAT00000000289	287022	bta04110=Cell cycle.bta04114=Oocyte meiosis.bta04722=Neurotrophin signaling pathway
ENSBTAT00000000291	534655	bta04115=p53 signaling pathway.bta04120=Ubiquitin mediated proteolysis.bta04310=Wnt signaling pathway
ENSBTAT00000000293	523045	bta04144=Endocytosis
ENSBTAT00000000294	613606	N
ENSBTAT00000000301	513944	N
ENSBTAT00000000304	509223	N
ENSBTAT00000000305	517882	N
ENSBTAT00000000306	525813	bta00620=Pyruvate metabolism.bta01100=Metabolic pathways
ENSBTAT00000000307	537808	bta04514=Cell adhesion molecules (CAMs)
ENSBTAT00000000314	510680	N
ENSBTAT00000000315	510679	bta00860=Porphyrin and chlorophyll metabolism.bta01100=Metabolic pathways
ENSBTAT00000000316	510678	bta00230=Purine metabolism.bta00240=Pyrimidine metabolism.bta01100=Metabolic pathways.bta03030=DNA replication.bta03410=Base excision repair.bta03420=Nucleotide excision repair.bta05166=HTLV-I infection
ENSBTAT00000000317	528153	bta04144=Endocytosis
ENSBTAT00000000321	781188	N
ENSBTAT00000000322	512888	N
ENSBTAT00000000323	510406	N
ENSBTAT00000000324	282645	bta00520=Amino sugar and nucleotide sugar metabolism
ENSBTAT00000000325	615645	N
ENSBTAT00000000329	U	N
ENSBTAT00000000331	516781	N
ENSBTAT00000000333	516411	bta03015=mRNA surveillance pathway
ENSBTAT00000000335	509455	N
ENSBTAT00000000337	532884	N
ENSBTAT00000000338	U	N
ENSBTAT00000000339	615848	bta04060=Cytokine-cytokine receptor interaction.bta04630=Jak-STAT signaling pathway.bta04640=Hematopoietic cell lineage
ENSBTAT00000000341	507409	bta04130=SNARE interactions in vesicular transport
